I,J,X,Y,Zmin,Zbank,slope1,int1,slope2,int2
15,2,15000.000000,2500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,3,15000.000000,3500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,4,15000.000000,4500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,5,15000.000000,5500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,6,15000.000000,6500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,7,15000.000000,7500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,8,15000.000000,8500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,9,15000.000000,9500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
16,0,16000.000000,500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,1,16000.000000,1500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,2,16000.000000,2500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,3,16000.000000,3500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,4,16000.000000,4500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,5,16000.000000,5500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,6,16000.000000,6500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,7,16000.000000,7500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,8,16000.000000,8500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
16,9,16000.000000,9500.000000,84.000000,84.000000,-1.000000,0.000000,1.000000,0.000000
17,0,17000.000000,500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,1,17000.000000,1500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,2,17000.000000,2500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,3,17000.000000,3500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,4,17000.000000,4500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,5,17000.000000,5500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,6,17000.000000,6500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,7,17000.000000,7500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,8,17000.000000,8500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
17,9,17000.000000,9500.000000,83.000000,83.000000,-1.000000,0.000000,1.000000,0.000000
18,0,18000.000000,500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,1,18000.000000,1500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,2,18000.000000,2500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,3,18000.000000,3500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,4,18000.000000,4500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,5,18000.000000,5500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,6,18000.000000,6500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,7,18000.000000,7500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,8,18000.000000,8500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
18,9,18000.000000,9500.000000,82.000000,82.000000,-1.000000,0.000000,1.000000,0.000000
19,0,19000.000000,500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,1,19000.000000,1500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,2,19000.000000,2500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,3,19000.000000,3500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,4,19000.000000,4500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,5,19000.000000,5500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,6,19000.000000,6500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,7,19000.000000,7500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,8,19000.000000,8500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
19,9,19000.000000,9500.000000,81.000000,81.000000,-1.000000,0.000000,1.000000,0.000000
20,0,20000.000000,500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,1,20000.000000,1500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,2,20000.000000,2500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,3,20000.000000,3500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,4,20000.000000,4500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,5,20000.000000,5500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,6,20000.000000,6500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,7,20000.000000,7500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,8,20000.000000,8500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
20,9,20000.000000,9500.000000,80.000000,80.000000,-1.000000,0.000000,1.000000,0.000000
21,0,21000.000000,500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,1,21000.000000,1500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,2,21000.000000,2500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,3,21000.000000,3500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,4,21000.000000,4500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,5,21000.000000,5500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,6,21000.000000,6500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,7,21000.000000,7500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,8,21000.000000,8500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
21,9,21000.000000,9500.000000,79.000000,79.000000,-1.000000,0.000000,1.000000,0.000000
22,0,22000.000000,500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,1,22000.000000,1500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,2,22000.000000,2500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,3,22000.000000,3500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,4,22000.000000,4500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,5,22000.000000,5500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,6,22000.000000,6500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,7,22000.000000,7500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,8,22000.000000,8500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
22,9,22000.000000,9500.000000,78.000000,78.000000,-1.000000,0.000000,1.000000,0.000000
23,0,23000.000000,500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,1,23000.000000,1500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,2,23000.000000,2500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,3,23000.000000,3500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,4,23000.000000,4500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,5,23000.000000,5500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,6,23000.000000,6500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,7,23000.000000,7500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,8,23000.000000,8500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
23,9,23000.000000,9500.000000,77.000000,77.000000,-1.000000,0.000000,1.000000,0.000000
24,0,24000.000000,500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,1,24000.000000,1500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,2,24000.000000,2500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,3,24000.000000,3500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,4,24000.000000,4500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,5,24000.000000,5500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,6,24000.000000,6500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,7,24000.000000,7500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,8,24000.000000,8500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
24,9,24000.000000,9500.000000,76.000000,76.000000,-1.000000,0.000000,1.000000,0.000000
25,0,25000.000000,500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,1,25000.000000,1500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,2,25000.000000,2500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,3,25000.000000,3500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,4,25000.000000,4500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,5,25000.000000,5500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,6,25000.000000,6500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,7,25000.000000,7500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,8,25000.000000,8500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
25,9,25000.000000,9500.000000,75.000000,75.000000,-1.000000,0.000000,1.000000,0.000000
26,0,26000.000000,500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,1,26000.000000,1500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,2,26000.000000,2500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,3,26000.000000,3500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,4,26000.000000,4500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,5,26000.000000,5500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,6,26000.000000,6500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,7,26000.000000,7500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,8,26000.000000,8500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
26,9,26000.000000,9500.000000,74.000000,74.000000,-1.000000,0.000000,1.000000,0.000000
27,0,27000.000000,500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,1,27000.000000,1500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,2,27000.000000,2500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,3,27000.000000,3500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,4,27000.000000,4500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,5,27000.000000,5500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,6,27000.000000,6500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,7,27000.000000,7500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,8,27000.000000,8500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
27,9,27000.000000,9500.000000,73.000000,73.000000,-1.000000,0.000000,1.000000,0.000000
28,0,28000.000000,500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,1,28000.000000,1500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,2,28000.000000,2500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,3,28000.000000,3500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,4,28000.000000,4500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,5,28000.000000,5500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,6,28000.000000,6500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,7,28000.000000,7500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,8,28000.000000,8500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
28,9,28000.000000,9500.000000,72.000000,72.000000,-1.000000,0.000000,1.000000,0.000000
29,0,29000.000000,500.000000,71.000000,71.000000,-1.000000,0.000000,1.000000,0.000000
29,1,29000.000000,1500.000000,71.000000,71.000000,-1.000000,0.000000,1.000000,0.000000
29,2,29000.000000,2500.000000,71.000000,71.000000,-1.000000,0.000000,1.000000,0.000000
29,3,29000.000000,3500.000000,71.000000,71.000000,-1.000000,0.000000,1.000000,0.000000
29,4,29000.000000,4500.000000,71.000000,71.000000,-1.000000,0.000000,1.000000,0.000000
29,5,29000.000000,5500.000000,71.000000,71.000000,-1.000000,0.000000,1.000000,0.000000
