I,J,X,Y,zMin,zMax,vip1,vip2,vip3
23,4,23500.000000,4500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,5,23500.000000,5500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,6,23500.000000,6500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,7,23500.000000,7500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,8,23500.000000,8500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,9,23500.000000,9500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
24,0,24500.000000,500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,1,24500.000000,1500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,2,24500.000000,2500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,3,24500.000000,3500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,4,24500.000000,4500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,5,24500.000000,5500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,6,24500.000000,6500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,7,24500.000000,7500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,8,24500.000000,8500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
24,9,24500.000000,9500.000000,75.000000,80.000000,0.500000,4.499999,4.499999
25,0,25500.000000,500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,1,25500.000000,1500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,2,25500.000000,2500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,3,25500.000000,3500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,4,25500.000000,4500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,5,25500.000000,5500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,6,25500.000000,6500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,7,25500.000000,7500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,8,25500.000000,8500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
25,9,25500.000000,9500.000000,74.000000,79.000000,0.500000,4.499999,4.499999
26,0,26500.000000,500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,1,26500.000000,1500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,2,26500.000000,2500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,3,26500.000000,3500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,4,26500.000000,4500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,5,26500.000000,5500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,6,26500.000000,6500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,7,26500.000000,7500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,8,26500.000000,8500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
26,9,26500.000000,9500.000000,73.000000,78.000000,0.500000,4.499999,4.499999
27,0,27500.000000,500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,1,27500.000000,1500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,2,27500.000000,2500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,3,27500.000000,3500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
