X,Y,i,j,WL
48500.000000,4500.000000,48,4,51.089394
48500.000000,5500.000000,48,5,51.089394
48500.000000,6500.000000,48,6,51.089394
48500.000000,7500.000000,48,7,51.089394
48500.000000,8500.000000,48,8,51.089394
48500.000000,9500.000000,48,9,51.089394
49500.000000,500.000000,49,0,50.089088
49500.000000,1500.000000,49,1,50.089088
49500.000000,2500.000000,49,2,50.089088
49500.000000,3500.000000,49,3,50.089088
49500.000000,4500.000000,49,4,50.089088
49500.000000,5500.000000,49,5,50.089088
49500.000000,6500.000000,49,6,50.089088
49500.000000,7500.000000,49,7,50.089088
49500.000000,8500.000000,49,8,50.089088
49500.000000,9500.000000,49,9,50.089088
50500.000000,500.000000,50,0,49.088127
50500.000000,1500.000000,50,1,49.088127
50500.000000,2500.000000,50,2,49.088127
50500.000000,3500.000000,50,3,49.088127
50500.000000,4500.000000,50,4,49.088127
50500.000000,5500.000000,50,5,49.088127
50500.000000,6500.000000,50,6,49.088127
50500.000000,7500.000000,50,7,49.088127
50500.000000,8500.000000,50,8,49.088127
50500.000000,9500.000000,50,9,49.088127
51500.000000,500.000000,51,0,48.086754
51500.000000,1500.000000,51,1,48.086754
51500.000000,2500.000000,51,2,48.086754
51500.000000,3500.000000,51,3,48.086754
51500.000000,4500.000000,51,4,48.086754
51500.000000,5500.000000,51,5,48.086754
51500.000000,6500.000000,51,6,48.086754
51500.000000,7500.000000,51,7,48.086754
51500.000000,8500.000000,51,8,48.086754
51500.000000,9500.000000,51,9,48.086754
52500.000000,500.000000,52,0,47.086376
52500.000000,1500.000000,52,1,47.086376
52500.000000,2500.000000,52,2,47.086376
52500.000000,3500.000000,52,3,47.086376
52500.000000,4500.000000,52,4,47.086376
52500.000000,5500.000000,52,5,47.086376
52500.000000,6500.000000,52,6,47.086376
52500.000000,7500.000000,52,7,47.086376
52500.000000,8500.000000,52,8,47.086376
52500.000000,9500.000000,52,9,47.086376
53500.000000,500.000000,53,0,46.095364
53500.000000,1500.000000,53,1,46.095364
53500.000000,2500.000000,53,2,46.095364
53500.000000,3500.000000,53,3,46.095364
53500.000000,4500.000000,53,4,46.095364
53500.000000,5500.000000,53,5,46.095364
53500.000000,6500.000000,53,6,46.095364
53500.000000,7500.000000,53,7,46.095364
53500.000000,8500.000000,53,8,46.095364
53500.000000,9500.000000,53,9,46.095364
54500.000000,500.000000,54,0,45.099716
54500.000000,1500.000000,54,1,45.099716
54500.000000,2500.000000,54,2,45.099716
54500.000000,3500.000000,54,3,45.099716
54500.000000,4500.000000,54,4,45.099716
54500.000000,5500.000000,54,5,45.099716
54500.000000,6500.000000,54,6,45.099716
54500.000000,7500.000000,54,7,45.099716
54500.000000,8500.000000,54,8,45.099716
54500.000000,9500.000000,54,9,45.099716
55500.000000,500.000000,55,0,44.934025
55500.000000,1500.000000,55,1,44.934025
55500.000000,2500.000000,55,2,44.934025
55500.000000,3500.000000,55,3,44.934025
55500.000000,4500.000000,55,4,44.934025
55500.000000,5500.000000,55,5,44.934025
55500.000000,6500.000000,55,6,44.934025
55500.000000,7500.000000,55,7,44.934025
55500.000000,8500.000000,55,8,44.934025
55500.000000,9500.000000,55,9,44.934025
56500.000000,500.000000,56,0,43.072041
56500.000000,1500.000000,56,1,43.072041
56500.000000,2500.000000,56,2,43.072041
56500.000000,3500.000000,56,3,43.072041
56500.000000,4500.000000,56,4,43.072041
56500.000000,5500.000000,56,5,43.072041
56500.000000,6500.000000,56,6,43.072041
56500.000000,7500.000000,56,7,43.072041
56500.000000,8500.000000,56,8,43.072041
56500.000000,9500.000000,56,9,43.072041
57500.000000,500.000000,57,0,42.087166
57500.000000,1500.000000,57,1,42.087166
57500.000000,2500.000000,57,2,42.087166
57500.000000,3500.000000,57,3,42.087166
57500.000000,4500.000000,57,4,42.087166
57500.000000,5500.000000,57,5,42.087166
57500.000000,6500.000000,57,6,42.087166
57500.000000,7500.000000,57,7,42.087166
57500.000000,8500.000000,57,8,42.087166
57500.000000,9500.000000,57,9,42.087166
58500.000000,500.000000,58,0,41.075184
58500.000000,1500.000000,58,1,41.075184
58500.000000,2500.000000,58,2,41.075184
58500.000000,3500.000000,58,3,41.075184
58500.000000,4500.000000,58,4,41.075184
58500.000000,5500.000000,58,5,41.075184
58500.000000,6500.000000,58,6,41.075184
58500.000000,7500.000000,58,7,41.075184
58500.000000,8500.000000,58,8,41.075184
58500.000000,9500.000000,58,9,41.075184
59500.000000,500.000000,59,0,40.089455
59500.000000,1500.000000,59,1,40.089455
59500.000000,2500.000000,59,2,40.089455
59500.000000,3500.000000,59,3,40.089455
59500.000000,4500.000000,59,4,40.089455
59500.000000,5500.000000,59,5,40.089455
59500.000000,6500.000000,59,6,40.089455
59500.000000,7500.000000,59,7,40.089455
59500.000000,8500.000000,59,8,40.089455
59500.000000,9500.000000,59,9,40.089455
60500.000000,500.000000,60,0,39.074871
60500.000000,1500.000000,60,1,39.074871
60500.000000,2500.000000,60,2,39.074871
60500.000000,3500.000000,60,3,39.074871
60500.000000,4500.000000,60,4,39.074871
60500.000000,5500.000000,60,5,39.074871
60500.000000,6500.000000,60,6,39.074871
60500.000000,7500.000000,60,7,39.074871
60500.000000,8500.000000,60,8,39.074871
60500.000000,9500.000000,60,9,39.074871
61500.000000,500.000000,61,0,38.069370
61500.000000,1500.000000,61,1,38.069370
61500.000000,2500.000000,61,2,38.069370
61500.000000,3500.000000,61,3,38.069370
61500.000000,4500.000000,61,4,38.069370
61500.000000,5500.000000,61,5,38.069370
61500.000000,6500.000000,61,6,38.069370
61500.000000,7500.000000,61,7,38.069370
61500.000000,8500.000000,61,8,38.069370
61500.000000,9500.000000,61,9,38.069370
62500.000000,500.000000,62,0,37.067425
62500.000000,1500.000000,62,1,37.067425
62500.000000,2500.000000,62,2,37.067425
62500.000000,3500.000000,62,3,37.067425
62500.000000,4500.000000,62,4,37.067425
62500.000000,5500.000000,62,5,37.067425
62500.000000,6500.000000,62,6,37.067425
62500.000000,7500.000000,62,7,37.067425
62500.000000,8500.000000,62,8,37.067425
62500.000000,9500.000000,62,9,37.067425
63500.000000,500.000000,63,0,36.099529
63500.000000,1500.000000,63,1,36.099529
63500.000000,2500.000000,63,2,36.099529
63500.000000,3500.000000,63,3,36.099529
63500.000000,4500.000000,63,4,36.099529
63500.000000,5500.000000,63,5,36.099529
63500.000000,6500.000000,63,6,36.099529
63500.000000,7500.000000,63,7,36.099529
63500.000000,8500.000000,63,8,36.099529
63500.000000,9500.000000,63,9,36.099529
64500.000000,500.000000,64,0,35.068260
64500.000000,1500.000000,64,1,35.068260
64500.000000,2500.000000,64,2,35.068260
64500.000000,3500.000000,64,3,35.068260
64500.000000,4500.000000,64,4,35.068260
64500.000000,5500.000000,64,5,35.068260
64500.000000,6500.000000,64,6,35.068260
64500.000000,7500.000000,64,7,35.068260
64500.000000,8500.000000,64,8,35.068260
64500.000000,9500.000000,64,9,35.068260
65500.000000,500.000000,65,0,34.083370
65500.000000,1500.000000,65,1,34.083370
65500.000000,2500.000000,65,2,34.083370
65500.000000,3500.000000,65,3,34.083370
65500.000000,4500.000000,65,4,34.083370
65500.000000,5500.000000,65,5,34.083370
65500.000000,6500.000000,65,6,34.083370
65500.000000,7500.000000,65,7,34.083370
65500.000000,8500.000000,65,8,34.083370
65500.000000,9500.000000,65,9,34.083370
66500.000000,500.000000,66,0,33.099796
66500.000000,1500.000000,66,1,33.099796
66500.000000,2500.000000,66,2,33.099796
66500.000000,3500.000000,66,3,33.099796
66500.000000,4500.000000,66,4,33.099796
66500.000000,5500.000000,66,5,33.099796
66500.000000,6500.000000,66,6,33.099796
66500.000000,7500.000000,66,7,33.099796
